timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1731594180000,90871.45000000,90911.98000000,90809.46000000,90816.02000000,31.42699000,1731594239999,2855659.61372250,10883,15.86124000,1441212.86462830,0
1731594240000,90816.02000000,90901.28000000,90816.01000000,90894.33000000,33.07717000,1731594299999,3005380.24420960,6082,26.73030000,2428645.91141960,0
1731594300000,90894.33000000,91097.56000000,90894.33000000,91056.00000000,58.45746000,1731594359999,5320368.90578860,9926,44.54961000,4054652.57414220,0
1731594360000,91056.00000000,91103.44000000,91028.93000000,91103.43000000,22.99558000,1731594419999,2093982.29684060,6551,13.99809000,1274676.97716520,0
1731594420000,91103.44000000,91195.00000000,91103.43000000,91185.51000000,39.58046000,1731594479999,3608591.30044670,7348,27.16750000,2476853.17854350,0
1731594480000,91185.51000000,91300.00000000,91163.99000000,91272.02000000,86.00279000,1731594539999,7846627.02039280,11807,54.82489000,5001632.52574070,0
1731594540000,91272.01000000,91309.79000000,91215.73000000,91283.51000000,56.82259000,1731594599999,5185662.38637180,10075,31.97608000,2918222.36593940,0
1731594600000,91283.50000000,91445.80000000,91283.50000000,91381.68000000,59.80840000,1731594659999,5464915.44812050,12320,36.78577000,3361188.73787520,0
1731594660000,91381.68000000,91500.00000000,91372.01000000,91419.51000000,41.28402000,1731594719999,3774839.56109960,13538,22.29935000,2039014.47664280,0
1731594720000,91419.51000000,91573.56000000,91380.95000000,91403.49000000,101.35048000,1731594779999,9273527.94089570,14982,65.10844000,5957413.30332730,0
1731594780000,91403.49000000,91790.00000000,91403.49000000,91716.47000000,193.06786000,1731594839999,17693972.46656330,22406,135.06972000,12378853.74324820,0
1731594840000,91716.48000000,91757.58000000,91585.94000000,91699.99000000,102.81500000,1731594899999,9425186.12635710,17586,53.00438000,4858951.32371710,0
1731594900000,91699.99000000,91748.13000000,91342.27000000,91431.45000000,120.16569000,1731594959999,10998573.61970160,21952,32.18525000,2946366.00774360,0
1731594960000,91431.45000000,91431.46000000,90940.00000000,90940.01000000,153.04589000,1731595019999,13959468.46958330,23944,51.74278000,4719676.64852230,0
1731595020000,90940.00000000,91190.08000000,90822.16000000,90836.94000000,163.83586000,1731595079999,14910191.87563240,26354,73.48720000,6690001.93370110,0
1731595080000,90836.94000000,90863.34000000,90052.54000000,90345.47000000,390.31485000,1731595139999,35266385.01241240,44590,147.44650000,13319340.81395080,0
1731595140000,90345.47000000,90609.81000000,90304.97000000,90408.00000000,119.94146000,1731595199999,10851888.37173160,18137,65.14731000,5894309.69904450,0
1731595200000,90408.00000000,90562.50000000,90105.26000000,90324.00000000,159.53120000,1731595259999,14414377.39669660,24097,70.96995000,6413031.99582610,0
1731595260000,90324.00000000,90366.43000000,89772.72000000,89923.99000000,259.54254000,1731595319999,23356805.15580160,33488,64.51285000,5807446.52843820,0
1731595320000,89923.99000000,89947.80000000,89550.00000000,89784.00000000,194.88126000,1731595379999,17491372.94368400,24808,94.30233000,8463277.95140810,0
1731595380000,89784.22000000,89802.22000000,89400.00000000,89569.80000000,198.34299000,1731595439999,17764543.47409090,18693,93.33822000,8359579.06243740,0
