timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1731595080000,215.27000000,215.34000000,212.50000000,213.41000000,55924.39400000,1731595139999,11935385.25938000,17770,19792.78200000,4222169.52090000,0
1731595140000,213.42000000,214.43000000,213.28000000,213.75000000,26097.07800000,1731595199999,5581513.82426000,10323,12577.08700000,2690168.66300000,0
1731595200000,213.75000000,214.20000000,213.16000000,213.58000000,22690.03100000,1731595259999,4847302.97250000,9878,10841.37200000,2316253.10138000,0
1731595260000,213.58000000,213.71000000,212.28000000,212.46000000,32011.70100000,1731595319999,6815248.06572000,12557,13402.85300000,2855135.34981000,0
1731595320000,212.45000000,212.58000000,211.50000000,212.06000000,44158.56600000,1731595379999,9363899.19572000,12593,17563.53000000,3724797.83621000,0
1731595380000,212.06000000,212.17000000,211.26000000,211.56000000,32647.83800000,1731595439999,6911672.73997000,9431,12040.72900000,2548587.48184000,0
1731595440000,211.56000000,212.32000000,211.27000000,212.03000000,20184.10900000,1731595499999,4276783.43824000,4796,8672.64600000,1837945.71117000,0
1731595500000,212.02000000,212.03000000,211.13000000,211.22000000,21585.31500000,1731595559999,4566635.48604000,4239,9768.18900000,2067175.22278000,0
1731595560000,211.21000000,211.48000000,210.72000000,210.74000000,19810.23000000,1731595619999,4181928.73276000,5078,8168.42400000,1724617.17713000,0
1731595620000,210.73000000,211.47000000,210.41000000,211.40000000,20437.82100000,1731595679999,4309627.71096000,4700,8217.78500000,1732937.70822000,0
1731595680000,211.42000000,212.10000000,210.89000000,211.61000000,19619.75200000,1731595739999,4150934.66620000,4287,13475.92500000,2851200.45561000,0
1731595740000,211.62000000,211.68000000,210.64000000,210.67000000,12805.10900000,1731595799999,2701207.85587000,4231,5628.36700000,1187160.28835000,0
1731595800000,210.68000000,212.04000000,210.68000000,212.02000000,9872.49000000,1731595859999,2087173.28335000,3778,5320.91900000,1125527.92070000,0
1731595860000,212.02000000,212.09000000,211.58000000,211.59000000,11573.02800000,1731595919999,2451089.61764000,3701,5110.52900000,1082520.38644000,0
1731595920000,211.58000000,211.66000000,210.86000000,211.13000000,11032.57600000,1731595979999,2329635.75024000,3789,3658.79600000,772579.89867000,0
1731595980000,211.14000000,211.34000000,210.89000000,211.20000000,9102.84400000,1731596039999,1921501.34643000,2995,3612.55400000,762554.82791000,0
1731596040000,211.20000000,211.83000000,211.20000000,211.57000000,5772.23800000,1731596099999,1221349.13365000,3538,3772.60900000,798218.62728000,0
1731596100000,211.56000000,212.30000000,211.50000000,212.08000000,14227.34600000,1731596159999,3015994.84425000,3407,9293.76800000,1970295.96793000,0
1731596160000,212.09000000,212.10000000,211.17000000,211.20000000,7199.84500000,1731596219999,1523345.00910000,3237,2643.27500000,559394.34450000,0
1731596220000,211.21000000,211.64000000,210.99000000,211.00000000,8238.58800000,1731596279999,1740210.25424000,2902,2809.18700000,593360.87687000,0
1731596280000,211.00000000,211.32000000,210.89000000,210.99000000,5664.37900000,1731596339999,1195352.38324000,1790,2798.07100000,590505.57446000,0
1731596340000,210.99000000,211.08000000,210.38000000,210.48000000,10407.13000000,1731596399999,2192717.79436000,2411,3461.78100000,729477.87656000,0
1731596400000,210.49000000,210.49000000,209.03000000,209.35000000,32576.78200000,1731596459999,6835210.29879000,8483,7856.58300000,1648314.84583000,0
1731596460000,209.35000000,210.29000000,209.25000000,210.07000000,13953.05000000,1731596519999,2926007.00409000,3725,6665.05300000,1397611.63618000,0
1731596520000,210.07000000,211.89000000,209.75000000,211.81000000,22682.15400000,1731596579999,4785500.43377000,5908,16224.56100000,3422957.72588000,0
1731596580000,211.81000000,212.31000000,211.60000000,211.82000000,11492.85500000,1731596639999,2435370.23476000,4369,5760.53000000,1220658.15551000,0
1731596640000,211.81000000,212.21000000,211.60000000,211.99000000,13340.01000000,1731596699999,2827054.59914000,2755,8121.87300000,1721039.84682000,0
1731596700000,211.98000000,212.41000000,211.78000000,212.33000000,10371.26400000,1731596759999,2198697.95384000,3284,5711.99300000,1211079.36258000,0
1731596760000,212.33000000,212.33000000,211.82000000,212.27000000,7465.86300000,1731596819999,1583130.45590000,2659,2973.81500000,630615.46455000,0
1731596820000,212.25000000,212.78000000,212.24000000,212.65000000,9291.95200000,1731596879999,1974269.26015000,3084,4766.78200000,1012822.06073000,0
1731596880000,212.66000000,212.85000000,212.27000000,212.66000000,9889.01100000,1731596939999,2102870.68350000,2832,4938.91300000,1050246.77754000,0
1731596940000,212.65000000,212.96000000,212.34000000,212.88000000,11895.77700000,1731596999999,2529830.74568000,2684,7438.91500000,1581676.12930000,0
1731597000000,212.88000000,212.95000000,212.31000000,212.39000000,10242.73100000,1731597059999,2177913.64443000,2982,3706.51700000,788421.17889000,0
1731597060000,212.39000000,213.05000000,212.28000000,212.79000000,7150.76800000,1731597119999,1521523.92799000,2508,4620.66700000,983269.27824000,0
1731597120000,212.79000000,213.04000000,212.42000000,212.86000000,5978.69900000,1731597179999,1271839.12281000,2259,3371.85400000,717288.86731000,0
1731597180000,212.87000000,213.35000000,212.74000000,213.08000000,5786.14200000,1731597239999,1233194.64934000,2382,2754.93100000,587140.23301000,0
1731597240000,213.08000000,213.19000000,212.89000000,213.01000000,3516.04800000,1731597299999,748976.42623000,1810,1917.87500000,408515.26329000,0
1731597300000,213.00000000,213.50000000,212.81000000,213.47000000,5200.02200000,1731597359999,1108601.06137000,2094,2654.89400000,566170.81802000,0
1731597360000,213.46000000,213.53000000,212.30000000,212.33000000,5253.92400000,1731597419999,1117561.14331000,2215,2048.63300000,435658.24540000,0
1731597420000,212.32000000,212.37000000,211.76000000,212.08000000,11185.73600000,1731597479999,2371914.38340000,2665,2503.56400000,530819.99274000,0
